T,FC,x1
1,3,4.1464775376553495
2,1,7.6515045175581955
3,5,3.3825012339523344
4,3,6.369695737756485
5,5,8.10571786851811
6,7,7.424428970727271
7,0,5.832796038490015
8,5,5.21970599302233
9,2,2.0704111082643086
10,5,9.943683918125672
11,0,4.425926563116989
12,3,5.634691578052529
13,1,3.891628344061675
14,4,2.977607235575898
15,3,5.881288440022294
16,1,6.902422412176215
17,3,3.2270371579297774
18,2,3.1726224063653783
19,3,7.644720618481547
20,4,7.930414125103814
