T,FC,x1,x2
1,1,2.857657341158737,7.379421441949276
2,89,4.944999513199285,7.000705936457056
3,41,7.0304653577755145,3.00067517123408
4,8,2.390352180077403,4.259312518559555
5,4,3.094611031086192,3.3433267111125624
6,0,5.945589394679784,5.211271061864188
7,0,6.940354573396159,5.994207570393451
8,0,3.654323959747006,3.276348835290732
9,0,3.217952261903582,4.281480273298894
10,0,5.537503821604853,3.355755671474389
11,0,4.365896172293329,2.025135119129018
12,0,5.769397005544103,5.221098058758051
13,0,3.1432446269195484,7.065479869198115
14,0,5.757868126227038,4.175154749113329
15,0,4.098371026207319,5.062627337113422
16,0,7.512302276020093,5.171225802771737
17,0,7.402719086566737,6.418901325163563
18,0,7.545976218817346,8.219632103056615
19,0,6.192835015144944,6.534281084121906
20,0,3.5951870171758946,3.4259063410698185
