T,FC,x1
1,0,5.492846998523191
2,76,6.5032644979025624
3,40,8.356711705450465
4,12,2.567378976688332
5,1,8.855429014955432
6,1,7.194935445080794
7,0,6.358033973802636
8,0,2.2608725366710507
9,0,7.650016264305751
10,0,7.487540004365618
11,0,8.950014902960106
12,0,5.1287969537196
13,0,7.517397288940349
14,0,5.915595385243175
15,0,5.160675684609167
16,0,2.064630523840886
17,0,2.383449257434873
18,0,2.3613039134354223
19,0,2.6316060491464146
20,0,7.227937263532492
