T,FC,x1,x2,x3,x4,x5,x6
1,2,2.124263573392558,5.61293030576588,3.321160934016584,4.1471436571597895,7.45448011483223,2.294538343419109
2,71,2.3754281979264955,2.9954028859116244,5.007852522404298,3.6749987791955347,4.373573716853301,3.315173936413214
3,30,3.45967364096167,5.98402559063997,5.034186814197198,6.252392950582999,7.323607573073654,7.840916194261487
4,3,4.639667911495065,5.666217449718702,6.499582681592097,4.60141937375113,8.538448814359617,4.050601911504418
5,0,8.211043061795253,6.652659398825628,2.3479032592997324,2.3925179877497995,7.172907262324438,6.544864204562922
6,0,2.847944728542521,7.341574148197988,8.500976785953819,8.673518843772817,8.887145505615816,4.7304129951281055
7,0,4.048592113020765,5.5705683284742005,9.718928125720815,7.085349383216764,7.006898332193398,2.6969498368094005
8,0,4.138857408294864,6.265931330410371,7.12639626623218,6.292947471367128,5.349398462289801,7.273376407134476
9,0,7.627035760092242,7.4526540802465915,6.516319108917174,6.538385170849248,6.348942737319484,3.1240083030329537
10,0,2.7261188028582595,3.3189353138674402,7.274063740716615,8.205039608539831,5.107134792042946,2.3759388943799546
11,0,5.163700652842704,4.017088970135448,7.145091834614376,3.638399364142397,7.224205446688775,2.212309772399638
12,0,4.298620656772722,4.0185714964953325,3.234279588235274,6.615605090586394,2.9269140782856065,7.243987350624556
13,0,2.2257678971170214,5.404042138595572,7.869457660752791,8.610449790590408,5.488536848347511,5.975254978992512
14,0,5.083712300310999,9.451834370500602,4.550247186236551,8.39836094281717,4.63907741511204,5.8162523286973205
15,0,7.646396406710363,9.600433358494247,7.806748127750201,12.50492813851161,5.223303419826719,4.565612910421509
16,0,4.164108345992989,2.172012423873035,7.819015792788981,10.670941150171327,4.178574823493936,6.246503678601323
17,0,6.413226223672758,4.109190480568932,3.225211372505956,3.266309597520837,2.574866461958737,3.036619588176506
18,0,6.540006609646387,6.002522056705599,5.038725949599533,5.004241541651557,5.139099219972095,4.732011579762202
19,0,2.6609169589035644,3.6827451498555366,4.255880399282049,7.138403464465382,6.512081084472359,7.0288146333004535
20,0,2.306258057746918,8.084995644302982,2.896720706218944,3.328420305148164,4.678018959127869,6.253897059601807
