T,FC,x1,x2
1,2,4.875859655857064,7.400420380081749
2,3,4.016818656703092,3.165292672951109
3,4,8.0835201022739,5.1412992829272826
4,4,8.580093549458114,5.661745765076011
5,8,6.312913493656569,2.138259181151844
6,1,5.15546770736006,5.491271573453846
7,5,6.61211285581906,7.361113626529644
8,4,5.952354194642016,4.669383756843962
9,0,7.7729858018151585,8.357631280143625
10,2,5.175401851937517,6.960955880535311
11,4,7.125259488082286,8.334962315963555
12,2,9.757397542423428,7.18272947640988
13,3,3.396596264450852,4.043295498271138
14,3,2.919019865704814,4.9372419996479575
15,4,3.5983243967205207,2.0418297356832973
16,0,6.7035775388645416,6.530997679553158
17,2,4.915418819003726,8.133343293640197
18,3,4.1768595944639335,2.8801086515024865
19,1,6.3741761547866576,2.3693458781965493
20,2,4.432224141099701,3.867811977303636
