T,FC,x1
1,1,4.607603214999723
2,1,5.937163386965099
3,4,7.676770479194478
4,2,6.852559051357136
5,3,7.899966241638211
6,0,5.176343851547314
7,1,3.9673984442873875
8,2,2.384841544714327
9,4,3.1278364805249144
10,4,6.759815070512405
11,6,3.1582464261781493
12,4,9.930921256180998
13,1,7.250070758241614
14,2,8.032770476746265
15,1,6.5143152974144805
16,2,3.1553678012476833
17,2,4.738397400819634
18,1,7.396240727360889
19,2,4.907759993857355
20,5,3.8264923737425516
