T,FC,x1,x2
1,1,2.0025581395411463,6.137106627629968
2,1,8.208279209395839,5.573196894194673
3,1,2.225325575310433,5.1925519385935655
4,2,3.2215310323374378,5.284243398633783
5,3,6.393306844942363,6.561342823334556
6,0,5.091222667074566,7.918746815240818
7,0,5.442534482994156,4.571429262206171
8,3,7.326685661143175,6.121482652976304
9,3,7.431817412495695,5.420198287223411
10,1,2.1165877504692467,7.2243428925642625
11,1,4.210529002373928,3.750398597713598
12,0,9.313311100580558,6.478365810598165
13,1,6.500882637414097,7.833906040928715
14,1,7.141712029420311,7.074417581759342
15,0,3.81899565594055,7.891677347843276
16,0,3.0943218842199087,3.072532123913135
17,1,6.8258456532101865,2.7931507962074424
18,1,5.706940919103954,6.139459837008155
19,2,6.704532721728147,3.509926739388127
20,0,3.7424940005821163,4.7218708116781665
