T,FC,x1
1,3,5.2873359503755095
2,1,7.1243010173846955
3,1,5.076497797458686
4,0,5.847834656930571
5,1,7.0375631232021885
6,2,3.0820603329967464
7,0,11.642203830443925
8,1,4.082197161974057
9,1,6.37683386594402
10,0,2.594349484745619
11,0,3.655600958599277
12,2,6.406640727175121
13,1,10.207306695843394
14,2,3.3387220592854137
15,0,7.023426144579516
16,0,7.06434423833553
17,0,5.072844183227275
18,2,6.157669733300881
19,0,5.084025318617994
20,0,8.488678553752603
