T,FC,x1,x2,x3
1,1,5.9018179650519755,4.42358852634695,5.6295923317444645
2,1,2.1109518506909066,2.2842800058283914,3.6467615535067024
3,0,5.724766455239926,7.379171446103586,8.294376793610555
4,0,7.097544807873042,7.001153537241091,5.365540831167139
5,2,6.956048950633282,6.578165000887948,7.441578202379401
6,2,4.708222383418936,2.7693969254328588,4.426398199857001
7,1,4.577660400173149,3.5667148840145866,4.102486364329513
8,0,6.328786394462482,5.592333799166594,7.16898166631092
9,1,3.1841430437918774,8.048452743049289,6.343921327111296
10,1,7.131992844868974,4.507118744341591,5.258961819839469
11,2,8.704565831628969,3.871366972742326,4.219363670527796
12,0,4.788177235636928,6.550033865693788,4.678732480232038
13,1,2.6018900666340987,7.533036572639845,8.275930904531553
14,2,3.6485878143069845,6.531322511735846,5.116527987194946
15,1,7.882167864642442,6.281681903422301,7.086864759703822
16,0,6.229817017460124,7.323721442666563,7.753126822233703
17,2,7.354026709533684,6.189096640349488,3.6359307659638187
18,0,7.224527989083382,3.78753793191366,6.123201677313971
19,1,5.680010359317647,7.224099947499776,4.376952921072436
20,1,2.4119615090627398,6.350635032189132,6.932211565056148
