T,FC,x1
1,1,3.4635590591996466
2,1,7.569909048671628
3,1,6.930562371920348
4,5,3.8900518730430305
5,2,2.3703427869870946
6,2,5.469850537075911
7,6,6.790263698903491
8,2,2.67928721823543
9,4,3.1955629403651242
10,6,4.087554904272412
11,2,6.085265151672716
12,4,7.19902144619543
13,4,6.37148017687161
14,3,2.2965654302496246
15,7,2.0331240862392126
16,5,5.281632441739876
17,8,3.490681151683716
18,3,3.2649322928648896
19,9,3.0541442252664432
20,3,5.979942391843095
