T,FC,x1,x2,x3,x4,x5
1,1,5.773335997070483,5.47576126288889,2.6904150026783076,3.792796154347235,3.0979090810139565
2,2,2.2145338237299437,9.046835099790481,6.692279506930406,9.633183090245016,5.780044979615346
3,3,5.198979844015375,7.725384064486702,5.0311844885056995,7.874787887544903,7.7417839193903415
4,1,2.3703891960354055,5.413673813994166,2.156071621222413,2.499505947558409,6.061215494855944
5,3,2.702006872628564,4.0994256972849135,7.01758718557266,6.685020531307755,7.060819001421569
6,4,6.482795397826594,6.136737418376724,7.488518484143612,5.098436908733259,4.717721501232276
7,6,2.296271199252229,7.348549649602059,4.1146508173339615,5.585283183018946,2.2675633050662576
8,5,7.788105991857545,5.580398788368932,6.647680118648907,2.418662102626158,4.461283672886682
9,9,8.57115630096034,6.874958746532582,6.7473503637531,5.295336095645148,3.3334343569068885
10,9,3.198390887092416,12.602684062770003,4.921367421818109,7.930301623605258,7.49456803550372
11,5,2.0639880484692905,3.0222561399860477,4.10494119273776,2.429750855170889,7.309717952847887
12,10,8.283900998140652,6.762958035764108,11.258369866485458,7.14813753367373,3.002108304175144
13,3,3.886508019219093,4.28234928236378,6.76320063515566,5.4444737730715556,6.145517923202198
14,2,2.2039072832390167,3.367883481202335,3.5612402825845137,4.216884889268367,4.479474750026835
15,1,6.430428968202026,3.1595447072354017,2.0714993518721,2.942478763350445,9.262731040019998
16,5,3.9666617567857045,4.976102245401658,8.47426967701058,3.812162542336117,2.6764078038834556
17,2,9.480553250163858,7.467844680719972,8.693191293591868,9.29747136602925,2.4431356632212675
18,1,7.6214029071119835,7.514642365252924,8.297275222651379,3.561546242960703,7.376005225055635
19,4,3.2146188093068013,4.299007113088174,5.045880150670122,6.077959467607377,7.801126708687319
20,1,3.2977938516224357,7.089385666243329,3.1057628586395603,4.409906944839387,2.4454952922840745
