T,FC,x1,x2
1,2,2.0315423749534487,7.5065926489824815
2,1,8.015320994004284,5.19460611305679
3,2,7.616843134683865,4.749848277241194
4,2,9.757646097049788,5.455743255230297
5,2,7.047253174803727,5.073346379920798
6,1,4.310650150596801,4.861136732951081
7,1,2.6853835752828914,7.668249990302731
8,0,4.804145263331429,3.5837367342119464
9,5,9.023646037767614,7.452729464449641
10,1,5.593466981203547,7.764266521538669
11,1,4.425681427317855,4.6526272077544375
12,1,3.74622248337528,3.174676485273654
13,0,7.15590373933448,8.574709527178806
14,2,5.120328855704319,5.3466310233278564
15,3,8.392529610102846,2.2146881696305645
16,0,11.58050939940773,5.1169477852576115
17,0,7.0260354372057225,6.2824050830498965
18,0,2.3697395430504806,5.52630966482819
19,2,4.964516162718196,9.232785839038174
20,3,3.241815549698469,8.505249154244849
