T,FC,x1,x2,x3
1,2,4.347977443665956,7.955259820631202,5.033946184879841
2,0,7.266338644405972,2.3889108167632607,7.491862620060165
3,2,5.419375019142317,3.264892835383046,7.618457749425199
4,1,3.520919502430468,4.292902932554233,4.3199726984374065
5,2,5.029628448445081,5.614529328942242,8.278982265620726
6,4,4.241278363516428,6.511420410133074,7.621033917596096
7,0,3.5813264185456877,6.641557904844514,4.123077869613219
8,2,7.390497436415419,7.3906297523660385,4.09460148334927
9,2,6.1116968663707105,3.6633678037621826,6.568806682764468
10,0,2.9786976468931377,7.9961928533600695,3.236199399143203
11,0,7.118635129156953,7.694160344765063,6.559253440277466
12,1,2.110203787067354,2.311253973295729,6.971189958726955
13,0,4.039231985991394,5.613856464665953,3.056412615258337
14,2,4.172343487419342,3.4080116674456358,8.341723218369655
15,2,6.784178043048941,5.268539046080383,7.535898982019488
16,4,6.726153140309773,5.934715722035767,7.2611901012924065
17,3,5.249601217318734,4.108347440063313,7.063244169418002
18,0,7.6029086436104585,5.5552773931636015,4.932346248510026
19,4,7.0173467331180035,4.380497776653385,8.860351504695247
20,0,5.556174130287998,4.583964677924306,6.863713287361015
