T,FC,x1
1,1,4.2871715058251425
2,3,11.40644544217383
3,8,6.356944859745764
4,5,6.456841112857068
5,2,4.5510819273684415
6,4,6.0575095079560946
7,3,6.472449900771922
8,2,2.0145336768848323
9,5,6.96216993989991
10,2,5.550181290723856
11,3,7.204280448898459
12,3,4.5175480986571195
13,2,7.2240088253739465
14,1,5.324909473194618
15,2,4.093829736466786
16,1,3.052875624934727
17,2,8.543059383250755
18,3,4.034139750390568
19,5,6.337506783070233
20,3,6.916271131786596
